,wins,prob
Sinner J.,477,0.0477
Alcaraz C.,433,0.0433
Djokovic N.,389,0.0389
Monfils G.,252,0.0252
Medvedev D.,226,0.0226
Fritz T.,222,0.0222
Tsitsipas S.,209,0.0209
Paul T.,208,0.0208
Tien L.,195,0.0195
Medjedovic H.,191,0.0191
Zverev A.,187,0.0187
Shapovalov D.,169,0.0169
Shelton B.,168,0.0168
Cilic M.,166,0.0166
Dimitrov G.,153,0.0153
Hurkacz H.,143,0.0143
Rublev A.,142,0.0142
Lehecka J.,141,0.0141
Korda S.,140,0.014
Yibing W.,133,0.0133
Auger-Aliassime F.,132,0.0132
Bergs Z.,122,0.0122
Norrie C.,114,0.0114
Khachanov K.,113,0.0113
Brooksby J.,109,0.0109
Minaur A.,104,0.0104
Musetti L.,103,0.0103
Agut R.,102,0.0102
Humbert U.,99,0.0099
Giron M.,99,0.0099
Kecmanovic M.,98,0.0098
Moutet C.,97,0.0097
Michelsen A.,94,0.0094
Faria J.,92,0.0092
Marozsan F.,92,0.0092
Tiafoe F.,92,0.0092
Arnaldi M.,92,0.0092
Cerundolo J.,89,0.0089
Ruud C.,89,0.0089
Struff J.,88,0.0088
Fokina A.,87,0.0087
Basavareddy N.,86,0.0086
Majchrzak K.,86,0.0086
Opelka R.,85,0.0085
Perricard G.,79,0.0079
Jodar R.,79,0.0079
Rinderknech A.,79,0.0079
Fucsovics M.,78,0.0078
Damm M.,76,0.0076
Vacherot V.,75,0.0075
Bonzi B.,74,0.0074
Nakashima B.,73,0.0073
Machac T.,73,0.0073
Mensik J.,73,0.0073
Zandschulp B.,73,0.0073
Munar J.,69,0.0069
Fery A.,68,0.0068
Gea A.,67,0.0067
Busta P.,66,0.0066
Griekspoor T.,66,0.0066
Popyrin A.,64,0.0064
Draxl L.,62,0.0062
Jong J.,61,0.0061
Misolic F.,61,0.0061
Tabilo A.,60,0.006
Hanfmann Y.,59,0.0059
Muller A.,59,0.0059
Duckworth J.,57,0.0057
Cerundolo F.,56,0.0056
Sonego L.,55,0.0055
Borges N.,54,0.0054
Kjaer N.,53,0.0053
Shevchenko A.,53,0.0053
Carabelli C.,52,0.0052
Kubler J.,52,0.0052
Tirante T.,51,0.0051
Djere L.,49,0.0049
Kypson P.,47,0.0047
Thompson J.,47,0.0047
Dzumhur D.,46,0.0046
Zheng M.,46,0.0046
Bellucci M.,44,0.0044
Shang J.,43,0.0043
Nardi L.,42,0.0042
Kopriva V.,42,0.0042
Wawrinka S.,41,0.0041
Cobolli F.,40,0.004
Fonseca J.,40,0.004
Baez S.,39,0.0039
Nava E.,38,0.0038
Garin C.,38,0.0038
Atmane T.,36,0.0036
Diallo G.,35,0.0035
Bublik A.,33,0.0033
Mannarino A.,31,0.0031
Bu Y.,28,0.0028
Taberner C.,26,0.0026
Halys Q.,25,0.0025
O'Connell C.,24,0.0024
Hijikata R.,23,0.0023
Jacquet K.,21,0.0021
Spizzirri E.,21,0.0021
Gaston H.,21,0.0021
Quinn E.,20,0.002
Etcheverry T.,18,0.0018
Vukic A.,15,0.0015
Sakamoto R.,15,0.0015
Blockx A.,14,0.0014
Comesana F.,14,0.0014
Darderi L.,13,0.0013
Altmaier D.,13,0.0013
Ymer E.,13,0.0013
Collignon R.,12,0.0012
Mochizuki S.,11,0.0011
Walton A.,11,0.0011
Kovacevic A.,10,0.001
Royer V.,10,0.001
McDonald M.,10,0.001
Prizmic D.,9,0.0009
Sweeny D.,9,0.0009
Martinez P.,8,0.0008
Navone M.,8,0.0008
Svrcina D.,6,0.0006
Fearnley J.,4,0.0004
Maestrelli F.,3,0.0003
Svajda Z.,2,0.0002
Zhang Z.,1,0.0001
